date,product_id,warehouse_id,demand,inbound_units,actual_outbound,inventory_level,unmet_demand,stockout_flag,strategy
2024-01-01,P001,WH1,29,0,29,221,0,False,weekly
2024-01-01,P002,WH1,23,0,23,227,0,False,weekly
2024-01-01,P003,WH1,34,0,34,216,0,False,weekly
2024-01-01,P004,WH1,21,0,21,229,0,False,weekly
2024-01-01,P005,WH1,28,0,28,222,0,False,weekly
2024-01-01,P006,WH1,21,0,21,59,0,False,weekly
2024-01-01,P007,WH1,6,0,6,74,0,False,weekly
2024-01-01,P008,WH1,6,0,6,74,0,False,weekly
2024-01-01,P009,WH1,9,0,9,71,0,False,weekly
2024-01-01,P010,WH1,6,0,6,74,0,False,weekly
2024-01-01,P011,WH1,13,0,13,27,0,False,weekly
2024-01-01,P012,WH1,6,0,6,34,0,False,weekly
2024-01-01,P013,WH1,11,0,11,29,0,False,weekly
2024-01-01,P014,WH1,1,0,1,39,0,False,weekly
2024-01-01,P015,WH1,9,0,9,31,0,False,weekly
2024-01-02,P001,WH1,26,0,26,195,0,False,weekly
2024-01-02,P002,WH1,41,0,41,186,0,False,weekly
2024-01-02,P003,WH1,37,0,37,179,0,False,weekly
2024-01-02,P004,WH1,12,0,12,217,0,False,weekly
2024-01-02,P005,WH1,15,0,15,207,0,False,weekly
2024-01-02,P006,WH1,9,0,9,50,0,False,weekly
2024-01-02,P007,WH1,8,0,8,66,0,False,weekly
2024-01-02,P008,WH1,4,0,4,70,0,False,weekly
2024-01-02,P009,WH1,14,0,14,57,0,False,weekly
2024-01-02,P010,WH1,7,0,7,67,0,False,weekly
2024-01-02,P011,WH1,5,0,5,22,0,False,weekly
2024-01-02,P012,WH1,5,0,5,29,0,False,weekly
2024-01-02,P013,WH1,4,0,4,25,0,False,weekly
2024-01-02,P014,WH1,7,0,7,32,0,False,weekly
2024-01-02,P015,WH1,7,0,7,24,0,False,weekly
2024-01-03,P001,WH1,34,0,34,161,0,False,weekly
2024-01-03,P002,WH1,23,0,23,163,0,False,weekly
2024-01-03,P003,WH1,12,0,12,167,0,False,weekly
2024-01-03,P004,WH1,39,0,39,178,0,False,weekly
2024-01-03,P005,WH1,31,0,31,176,0,False,weekly
2024-01-03,P006,WH1,4,0,4,46,0,False,weekly
2024-01-03,P007,WH1,13,0,13,53,0,False,weekly
2024-01-03,P008,WH1,19,0,19,51,0,False,weekly
2024-01-03,P009,WH1,13,0,13,44,0,False,weekly
2024-01-03,P010,WH1,19,0,19,48,0,False,weekly
2024-01-03,P011,WH1,8,0,8,14,0,False,weekly
2024-01-03,P012,WH1,3,0,3,26,0,False,weekly
2024-01-03,P013,WH1,1,0,1,24,0,False,weekly
2024-01-03,P014,WH1,3,0,3,29,0,False,weekly
2024-01-03,P015,WH1,0,0,0,24,0,False,weekly
2024-01-04,P001,WH1,34,0,34,127,0,False,weekly
2024-01-04,P002,WH1,36,0,36,127,0,False,weekly
2024-01-04,P003,WH1,16,0,16,151,0,False,weekly
2024-01-04,P004,WH1,37,0,37,141,0,False,weekly
2024-01-04,P005,WH1,25,0,25,151,0,False,weekly
2024-01-04,P006,WH1,10,0,10,36,0,False,weekly
2024-01-04,P007,WH1,5,0,5,48,0,False,weekly
2024-01-04,P008,WH1,12,0,12,39,0,False,weekly
2024-01-04,P009,WH1,13,0,13,31,0,False,weekly
2024-01-04,P010,WH1,13,0,13,35,0,False,weekly
2024-01-04,P011,WH1,2,0,2,12,0,False,weekly
2024-01-04,P012,WH1,0,0,0,26,0,False,weekly
2024-01-04,P013,WH1,9,0,9,15,0,False,weekly
2024-01-04,P014,WH1,0,0,0,29,0,False,weekly
2024-01-04,P015,WH1,4,0,4,20,0,False,weekly
2024-01-05,P001,WH1,40,0,40,87,0,False,weekly
2024-01-05,P002,WH1,35,0,35,92,0,False,weekly
2024-01-05,P003,WH1,29,0,29,122,0,False,weekly
2024-01-05,P004,WH1,22,0,22,119,0,False,weekly
2024-01-05,P005,WH1,41,0,41,110,0,False,weekly
2024-01-05,P006,WH1,4,0,4,32,0,False,weekly
2024-01-05,P007,WH1,27,0,27,21,0,False,weekly
2024-01-05,P008,WH1,15,0,15,24,0,False,weekly
2024-01-05,P009,WH1,12,0,12,19,0,False,weekly
2024-01-05,P010,WH1,11,0,11,24,0,False,weekly
2024-01-05,P011,WH1,3,0,3,9,0,False,weekly
2024-01-05,P012,WH1,0,0,0,26,0,False,weekly
2024-01-05,P013,WH1,0,0,0,15,0,False,weekly
2024-01-05,P014,WH1,8,0,8,21,0,False,weekly
2024-01-05,P015,WH1,11,0,11,9,0,False,weekly
2024-01-06,P001,WH1,31,0,31,56,0,False,weekly
2024-01-06,P002,WH1,31,0,31,61,0,False,weekly
2024-01-06,P003,WH1,11,0,11,111,0,False,weekly
2024-01-06,P004,WH1,13,0,13,106,0,False,weekly
2024-01-06,P005,WH1,35,0,35,75,0,False,weekly
2024-01-06,P006,WH1,4,0,4,28,0,False,weekly
2024-01-06,P007,WH1,9,0,9,12,0,False,weekly
2024-01-06,P008,WH1,13,0,13,11,0,False,weekly
2024-01-06,P009,WH1,0,0,0,19,0,False,weekly
2024-01-06,P010,WH1,13,0,13,11,0,False,weekly
2024-01-06,P011,WH1,5,0,5,4,0,False,weekly
2024-01-06,P012,WH1,2,0,2,24,0,False,weekly
2024-01-06,P013,WH1,14,0,14,1,0,False,weekly
2024-01-06,P014,WH1,3,0,3,18,0,False,weekly
2024-01-06,P015,WH1,2,0,2,7,0,False,weekly
2024-01-07,P001,WH1,31,0,31,25,0,False,weekly
2024-01-07,P002,WH1,27,0,27,34,0,False,weekly
2024-01-07,P003,WH1,29,0,29,82,0,False,weekly
2024-01-07,P004,WH1,19,0,19,87,0,False,weekly
2024-01-07,P005,WH1,34,0,34,41,0,False,weekly
2024-01-07,P006,WH1,14,0,14,14,0,False,weekly
2024-01-07,P007,WH1,14,0,12,0,2,True,weekly
2024-01-07,P008,WH1,12,0,11,0,1,True,weekly
2024-01-07,P009,WH1,6,0,6,13,0,False,weekly
2024-01-07,P010,WH1,20,0,11,0,9,True,weekly
2024-01-07,P011,WH1,4,0,4,0,0,False,weekly
2024-01-07,P012,WH1,11,0,11,13,0,False,weekly
2024-01-07,P013,WH1,0,0,0,1,0,False,weekly
2024-01-07,P014,WH1,8,0,8,10,0,False,weekly
2024-01-07,P015,WH1,5,0,5,2,0,False,weekly
2024-01-08,P001,WH1,33,220,33,212,0,False,weekly
2024-01-08,P002,WH1,18,220,18,236,0,False,weekly
2024-01-08,P003,WH1,20,180,20,242,0,False,weekly
2024-01-08,P004,WH1,10,190,10,267,0,False,weekly
